,ceNumber,title,source,firstAppeared,tune,creditMusic,creditArrangement,creditLyrics,creditLyricsEdits,creditCopyright,lyricsFirstLineBody,lyricsFirstLineChorus,scriptureReference,inscription
0,1,Meditations,192,10,8.7.8.7.,"Elder Roland Green, 1924-2011",,"Elder David P. Bridgman, 1904-1987",,,God has been my refuge daily,,Psalm 46:1,
1,2,All Hail the Power of Jesus’ Name!,1,1,"CORONATION, C.M.","Oliver Holden, 1765-1844 (1793)",,"from Edward Perronet, 1726-1792 (1779); alt. ",,,All hail the power of Jesus’ name!,,Philippians 2:9-11,
2,3,"Come, Let Us Praise the Lord",11,7,"IVA, S.M.","Elder John R. Daily, 1854-1920",,"Elder J. Harvey Daily, 1881-1964; ed.",,,"Come, let us praise the Lord",,,
3,4,The Doxology,3,1,"OLD HUNDRED, L.M.",From Geneva Psalter (1551),,"Thomas Ken, 1637-1711",,,"Praise God, from whom all blessings flow",,,
4,5,"O, for a Thousand Tongues",5,1,"AZMON, C.M.","Carl G. Gläser, 1784-1829 (1829)","arr. by Loweel Mason, 1792-1872 (1839)","from Charles Wesley, 1707-1788 (1739)",,,O for a thousand tongues to sing,,,
5,6,"Lord, in Thy Presence",42,1,"ASHVILLE, C.M.","Asa B. Everett, 1828-1875",ed. for Old School Hymnal (2020),"from J.L. Holman, 1784-1842 (1825)",,,"Lord, in Thy presence here we meet",,,
6,7,"Brethren, We Have Met to Worship",104,2,"HOLY MANNA, 8’s & 7’s",William Moore (1825),"arr. by Horace N. Lincoln, b. 1859","George Atkins, d. 1816; alt.",,,"Brethren, we have met to worship",,,
7,8,A Throne of Grace,9,10,"ARLINGTON, C.M.","Dr. Thomas Arne, 1710-1788 (1760)","arr. by Ralph Harrison, 1748-1810 (1784)","Ingram Cobbin, 1777-1851 (1843)",,,A throne of grace! Then let us go,,Hebrews 4:16,
8,9,"Hungry, and Faint, and Poor",36,1,"BOYLSTON, S.M.","Lowell Mason, 1792-1872 (1832)",,"John Newton, 1725-1807",,,"Hungry, and faint, and poor",,,
9,10,O Worship the King,8,10,LYONS,"attr. to J. Michael Haydn, 1737-1806","arr. by William Gardiner, 1769-1853 (1815)","from Robert Grant, 1779-1838 (1833)",,,"O worship the King, all glor'ous above",,,
10,11,"Come, Thou Almighty King",2,1,ITALIAN HYMN,"Felice de Giardini, 1716-1796 (1769)",,"from Charles weley, 1708-1788 (1757)",,,"Come, Thou Almighty King, Help us",,,
11,12,Kindred In Christ,39,1,"FOREST, L.M.","Amzi Chapin, 1768-1835 (1820)",,"John Newton, 1725-1807",,,"Kindred in Christ, for His dear sake",,,
12,13,How Lovely The Place,7,10,"CARRADOC PLAINS, 11’s & 8’s","W. E. Chute, 1832-1900","Arr. by Bro. Logan Green, 1924-2018",,,,How lovely the place where the Savior,,,
13,14,"Come, Thou Fount",25,1,"NETTLETON, 8’s & 7’s D.",Asahel Nettleton (1825); ed.,,"from Robert Robinson, 1735-1790 (1758)",,,"Come, Thou Fount of ev'ry blessing",,,
14,15,We Gather Together,28,10,KREMSER,Netherland Folk Song (1625),"arr. by Edward Kremser, 1838-1914",Dutch Hymn,"trans. by Theodore Baker, 1851-1934 (1894)",,We gather together to ask to Lord's,,,
15,16,As We Go Up To Worship,35,6,"DIVINE WORSHIP, C.M.","Elder Gilbert Dalton, 1886-1962","arr. by Elder Roland Green, 1924-2011","Elder J. A. Monsees, 1883-1971",,,"As we go up to worhsip here, sometimes",,,
16,17,I Love To See The Lord Below,43,10,"HESTER, C.M.","L. C. Everett, 1818-1867",ed. for Old School Hymnal (2020),,,,"I love to see the Lord below, His church",,,
17,18,Counsel,237,8,8.7.8.7.D.,"Elder Leon Clevenger, 1880-1980",,"Elder Leon Clevenger, 1880-1980",,,"O, dear pilgrim, are you troubled",,,
